Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Angola,2000,Total,  16 195,55.3,37.8,17.5,13.6,31.0,24.5,30.9,17.7,27.7,,
Angola,2001,Total,  16 747,56.0,38.3,17.7,13.5,30.5,24.8,31.2,18.0,27.9,,
Angola,2002,Total,  17 328,56.7,38.8,17.9,13.3,30.0,25.1,31.6,18.3,28.1,,
Angola,2003,Total,  17 944,58.1,40.4,17.7,13.3,28.6,25.9,32.1,18.8,28.7,,
Angola,2004,Total,  18 600,59.4,42.0,17.4,13.3,27.3,26.8,32.6,19.3,29.3,,
Angola,2005,Total,  19 291,60.7,43.6,17.2,13.2,26.0,27.7,33.1,19.7,29.9,,
Angola,2006,Total,  20 015,61.8,45.0,16.8,13.2,24.9,28.4,33.4,20.1,30.5,,
Angola,2007,Total,  20 779,62.9,46.5,16.4,13.2,23.9,29.2,33.7,20.4,31.0,,
Angola,2008,Total,  21 579,64.0,47.9,16.0,13.2,22.8,30.0,33.9,20.8,31.5,,
Angola,2009,Total,  22 415,65.0,49.4,15.6,13.2,21.8,30.8,34.2,21.2,32.0,,
Angola,2010,Total,  23 295,66.1,50.9,15.1,13.2,20.7,31.7,34.4,21.5,32.5,,
Angola,2011,Total,  24 218,67.1,52.4,14.7,13.2,19.7,32.5,34.6,21.9,33.0,,
Angola,2012,Total,  25 177,68.1,54.0,14.1,13.2,18.7,33.3,34.8,22.2,33.5,,
Angola,2013,Total,  26 166,69.1,55.5,13.6,13.2,17.7,34.2,34.9,22.5,33.9,,
Angola,2014,Total,  27 161,70.1,57.1,13.0,13.1,16.8,35.1,35.0,22.9,34.4,,
Angola,2015,Total,  28 158,71.1,58.6,12.5,13.1,15.8,36.0,35.1,23.2,33.9,,
Angola,2016,Total,  29 183,72.0,60.2,11.8,13.1,14.9,36.8,35.2,23.6,33.3,,
Angola,2017,Total,  30 235,73.0,61.8,11.2,13.1,14.0,37.7,35.2,23.9,32.8,,
Angola,2018,Total,  31 297,73.9,63.4,10.5,13.0,13.1,38.6,35.2,24.2,32.2,,
Angola,2019,Total,  32 376,74.8,64.2,10.6,13.0,12.2,39.6,35.2,24.6,31.6,,
Angola,2020,Total,  33 451,75.7,64.9,10.7,13.0,11.3,40.5,35.2,24.9,31.0,,
Angola,2021,Total,  34 532,76.6,65.7,10.9,13.0,10.5,41.4,35.2,25.2,30.4,,
Angola,2022,Total,  35 635,77.4,66.5,11.0,12.9,9.6,42.3,35.1,25.5,29.8,,
Angola,2023,Total,  36 750,78.3,67.2,11.1,12.9,8.8,43.3,35.0,25.8,29.1,,
Angola,2024,Total,  37 886,79.1,68.0,11.2,12.9,8.0,44.2,34.9,26.1,28.5,,
Angola,2025,Total,  39 040,79.4,68.2,11.1,12.8,7.9,44.5,34.9,26.3,28.7,,
Angola,2026,Total,  40 215,79.6,68.5,11.1,12.7,7.7,44.7,34.9,26.4,28.8,,
Angola,2027,Total,  41 415,79.8,68.7,11.1,12.6,7.6,45.0,34.8,26.6,29.0,,
Angola,2028,Total,  42 642,80.1,69.0,11.1,12.5,7.5,45.2,34.8,26.7,29.2,,
Angola,2029,Total,  43 892,,,,,,,,,,,
Angola,2030,Total,  45 160,,,,,,,,,,,
Angola,2000,Rural,  8 083,26.8,16.9,9.9,19.6,53.6,11.0,15.8,3.8,19.9,,
Angola,2001,Rural,  8 160,26.8,16.9,9.9,19.6,53.6,11.0,15.8,3.8,19.9,,
Angola,2002,Rural,  8 237,26.8,16.9,9.9,19.6,53.6,11.0,15.8,3.8,19.9,,
Angola,2003,Rural,  8 318,27.8,17.7,10.1,19.9,52.3,11.0,16.8,3.9,20.7,,
Angola,2004,Rural,  8 402,28.9,18.6,10.3,20.1,51.0,11.0,17.9,4.1,21.5,,
Angola,2005,Rural,  8 488,30.0,19.5,10.5,20.4,49.7,11.0,18.9,4.2,22.3,,
Angola,2006,Rural,  8 654,31.0,20.4,10.6,20.6,48.4,11.0,20.0,4.4,23.0,,
Angola,2007,Rural,  8 826,32.1,21.3,10.8,20.9,47.0,11.1,21.0,4.5,23.8,,
Angola,2008,Rural,  9 002,33.1,22.2,10.9,21.1,45.7,11.1,22.1,4.7,24.6,,
Angola,2009,Rural,  9 182,34.2,23.2,11.0,21.4,44.4,11.1,23.1,4.8,25.4,,
Angola,2010,Rural,  9 368,35.3,24.1,11.2,21.6,43.1,11.1,24.1,5.0,26.2,,
Angola,2011,Rural,  9 559,36.3,25.1,11.3,21.9,41.8,11.1,25.2,5.1,27.0,,
Angola,2012,Rural,  9 752,37.4,26.1,11.3,22.2,40.5,11.2,26.2,5.3,27.8,,
Angola,2013,Rural,  9 942,38.4,27.0,11.4,22.4,39.1,11.2,27.3,5.4,28.6,,
Angola,2014,Rural,  10 123,39.5,28.1,11.5,22.7,37.8,11.2,28.3,5.6,29.4,,
Angola,2015,Rural,  10 293,40.6,29.1,11.5,22.9,36.5,11.2,29.4,5.7,27.7,,
Angola,2016,Rural,  10 462,41.6,30.1,11.5,23.2,35.2,11.2,30.4,5.9,25.9,,
Angola,2017,Rural,  10 631,42.7,31.2,11.5,23.4,33.9,11.3,31.4,6.0,23.9,,
Angola,2018,Rural,  10 793,43.8,32.2,11.5,23.7,32.6,11.3,32.5,6.2,21.8,,
