Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Chad,2000,Total,8512.093,49.2,38.6,10.6,43.9,6.9,17.8,31.4,14.8,39.1,10.3,5.5
Chad,2001,Total,8804.124,49.9,39.2,10.7,43.2,6.9,17.8,32.1,14.6,39.6,10.5,5.6
Chad,2002,Total,9116.192,50.6,39.8,10.8,42.5,6.9,17.7,32.9,14.4,40.2,10.6,5.6
Chad,2003,Total,9487.833,51.3,40.4,10.9,41.8,6.9,17.6,33.7,14.2,40.7,10.8,5.6
Chad,2004,Total,9920.036,52,41,11,41,7,17.5,34.5,14,41.3,10.9,5.6
Chad,2005,Total,10328.092,52.7,41.6,11.1,40.3,7,17.4,35.3,13.8,41.9,11.1,5.7
Chad,2006,Total,10706.424,53.4,42.2,11.2,39.6,7,17.4,36,13.6,42.4,11.2,5.7
Chad,2007,Total,11081.66,54.1,42.8,11.3,38.9,7,17.3,36.8,13.3,43,11.4,5.7
Chad,2008,Total,11476.296,54.8,43.4,11.4,38.2,7,17.2,37.6,13.1,43.5,11.5,5.8
Chad,2009,Total,11893.754,55.5,44,11.5,37.4,7.1,17.1,38.4,12.9,44.1,11.7,5.8
Chad,2010,Total,12312.575,56.2,44.6,11.6,36.7,7.1,17,39.2,12.6,44.7,11.8,5.8
Chad,2011,Total,12754.997,56.9,45.2,11.7,36,7.1,17,40,12.4,45.2,12,5.8
Chad,2012,Total,13210.998,57.7,45.8,11.8,35.2,7.1,16.9,40.7,12.1,45.8,12.1,5.9
Chad,2013,Total,13691.079,58.4,46.5,11.9,34.5,7.1,16.9,41.5,11.9,46.4,12.3,5.9
Chad,2014,Total,14188.678,59.1,47.1,12,33.7,7.1,16.8,42.3,11.6,47,12.5,5.9
Chad,2015,Total,14647.621,59.9,47.8,12.1,33,7.2,16.8,43.1,11.4,47.6,12.6,6
Chad,2016,Total,15114.655,60.6,48.4,12.2,32.2,7.2,16.7,43.9,11.1,48.2,12.8,6
Chad,2017,Total,15622.759,61.4,49.1,12.2,31.5,7.2,16.7,44.6,10.9,48.8,12.9,6
Chad,2018,Total,16156.531,62.1,49.8,12.3,30.7,7.2,16.7,45.4,10.6,49.4,13.1,6.1
Chad,2019,Total,16685.223,62.9,50.5,12.4,29.9,7.2,16.7,46.2,10.4,50,13.2,6.1
Chad,2020,Total,17224.679,63.7,51.2,12.5,29.2,7.2,16.7,47,10.1,50.6,13.4,6.2
Chad,2021,Total,17828.273,64.4,51.9,12.5,28.4,7.2,16.7,47.8,9.8,51.2,13.6,6.2
Chad,2022,Total,18455.316,64.5,52,12.5,28.3,7.2,16.8,47.8,9.9,51.3,13.6,6.2
Chad,2023,Total,19319.064,64.6,52.1,12.5,28.2,7.1,16.9,47.7,10,51.3,13.6,6.3
Chad,2024,Total,20299.123,64.8,52.2,12.5,28.1,7.1,17,47.7,10.1,51.4,13.6,6.3
Chad,2025,Total,21003.705,64.9,52.3,12.6,28,7.1,17.2,47.7,10.2,51.5,13.6,6.4
Chad,2026,Total,21560.38,,,,,,,,,,,
Chad,2027,Total,22175.375,,,,,,,,,,,
Chad,2028,Total,22847.75,,,,,,,,,,,
Chad,2029,Total,23526.039,,,,,,,,,,,
Chad,2030,Total,24207.479,,,,,,,,,,,
Chad,2000,Rural,6670.331543,41.4,28.8,12.6,50.1,8.5,7.3,34.1,2.9,33.5,9.1,2.9
Chad,2001,Rural,6896.270508,42.1,29.4,12.7,49.3,8.6,7.3,34.8,2.9,34,9.2,2.9
Chad,2002,Rural,7137.795898,42.8,30.1,12.7,48.6,8.6,7.3,35.5,2.9,34.6,9.4,2.9
Chad,2003,Rural,7425.652344,43.5,30.7,12.7,47.9,8.6,7.3,36.2,2.9,35.2,9.5,2.9
Chad,2004,Rural,7760.642578,44.2,31.4,12.7,47.2,8.7,7.3,36.8,2.9,35.7,9.7,2.9
Chad,2005,Rural,8076.464844,44.9,32.1,12.8,46.4,8.7,7.3,37.5,2.9,36.3,9.8,2.9
Chad,2006,Rural,8368.783203,45.6,32.8,12.8,45.7,8.7,7.3,38.2,2.9,36.9,10,2.9
Chad,2007,Rural,8658.322266,46.3,33.5,12.8,45,8.8,7.3,38.9,2.9,37.4,10.2,2.9
Chad,2008,Rural,8962.87207,47,34.2,12.8,44.2,8.8,7.3,39.6,2.9,38,10.3,2.9
Chad,2009,Rural,9284.978516,47.7,34.9,12.8,43.5,8.8,7.3,40.3,2.9,38.6,10.5,2.9
Chad,2010,Rural,9605.655273,48.4,35.6,12.8,42.8,8.9,7.3,41,2.9,39.1,10.6,2.9
Chad,2011,Rural,9942.009766,49.1,36.3,12.8,42,8.9,7.3,41.7,2.9,39.7,10.8,2.9
Chad,2012,Rural,10285.81836,49.8,37,12.7,41.3,8.9,7.3,42.4,2.9,40.3,10.9,2.9
Chad,2013,Rural,10645.08789,50.5,37.8,12.7,40.6,9,7.3,43.1,2.8,40.8,11.1,2.8
Chad,2014,Rural,11014.38672,51.2,38.5,12.7,39.8,9,7.3,43.8,2.8,41.4,11.2,2.8
Chad,2015,Rural,11349.70898,51.9,39.2,12.6,39.1,9,7.3,44.5,2.8,42,11.4,2.8
Chad,2016,Rural,11687.10449,52.6,40,12.6,38.4,9.1,7.3,45.2,2.8,42.5,11.5,2.8
Chad,2017,Rural,12051.70898,53.3,40.7,12.5,37.6,9.1,7.3,45.9,2.8,43.1,11.7,2.8
Chad,2018,Rural,12430.99609,54,41.5,12.5,36.9,9.1,7.4,46.6,2.7,43.7,11.8,2.7
Chad,2019,Rural,12801.07031,54.7,42.3,12.4,36.2,9.2,7.4,47.3,2.7,44.2,12,2.7
Chad,2020,Rural,13173.43457,55.4,43,12.3,35.4,9.2,7.4,48,2.7,44.8,12.1,2.7
Chad,2021,Rural,13588.53125,56.1,43.8,12.3,34.7,9.2,7.4,48.7,2.7,45.4,12.3,2.7
Chad,2022,Rural,14014.41309,56.1,43.8,12.3,34.7,9.2,7.4,48.7,2.7,45.4,12.3,2.7
Chad,2023,Rural,14611.78125,56.1,43.8,12.3,34.7,9.2,7.4,48.7,2.7,45.4,12.3,2.7
Chad,2024,Rural,15287.06641,56.1,43.8,12.3,34.7,9.2,7.4,48.7,2.7,45.4,12.3,2.7
Chad,2025,Rural,15744.79688,56.1,43.8,12.3,34.7,9.2,7.4,48.7,2.7,45.4,12.3,2.7
Chad,2026,Rural,16082.53418,,,,,,,,,,,
Chad,2027,Rural,16454.34961,,,,,,,,,,,
Chad,2028,Rural,16858.21289,,,,,,,,,,,
Chad,2029,Rural,17255.4082,,,,,,,,,,,
Chad,2030,Rural,17643.13672,,,,,,,,,,,
Chad,2000,Urban,1841.761597,77.5,74.4,3.1,21.7,0.8,55.9,21.6,57.8,59.3,14.9,14.9
Chad,2001,Urban,1907.853638,78.2,74.6,3.5,21.1,0.8,55.5,22.7,56.9,59.8,15.1,15.1
Chad,2002,Urban,1978.395996,78.8,74.9,4,20.4,0.8,55,23.8,55.9,60.3,15.2,15.2
Chad,2003,Urban,2062.180664,79.5,75.1,4.4,19.8,0.8,54.6,24.9,54.9,60.8,15.3,15.3
Chad,2004,Urban,2159.393555,80.1,75.3,4.8,19.1,0.8,54.1,26,53.8,61.3,15.4,15.4
Chad,2005,Urban,2251.627197,80.8,75.5,5.3,18.5,0.8,53.7,27.1,52.8,61.8,15.6,15.6
Chad,2006,Urban,2337.640625,81.4,75.7,5.7,17.8,0.8,53.2,28.2,51.7,62.3,15.7,15.7
Chad,2007,Urban,2423.337402,82.1,75.9,6.2,17.2,0.8,52.8,29.3,50.6,62.8,15.8,15.8
Chad,2008,Urban,2513.423584,82.7,76.1,6.7,16.5,0.8,52.4,30.4,49.5,63.3,15.9,15.9
Chad,2009,Urban,2608.775879,83.4,76.2,7.2,15.8,0.7,51.9,31.5,48.4,63.8,16.1,16.1
Chad,2010,Urban,2706.919678,84.1,76.4,7.6,15.2,0.7,51.5,32.6,47.2,64.3,16.2,16.2
Chad,2011,Urban,2812.987061,84.7,76.6,8.1,14.5,0.7,51,33.7,46,64.8,16.3,16.3
Chad,2012,Urban,2925.179199,85.4,76.7,8.6,13.9,0.7,50.6,34.8,44.8,65.3,16.5,16.5
Chad,2013,Urban,3045.991211,86,76.9,9.1,13.2,0.7,50.1,35.9,43.5,65.8,16.6,16.6
Chad,2014,Urban,3174.291016,86.7,77,9.6,12.6,0.7,49.7,37,42.3,66.3,16.7,16.7
Chad,2015,Urban,3297.911865,87.3,77.2,10.2,11.9,0.7,49.2,38.1,41,66.8,16.8,16.8
Chad,2016,Urban,3427.550293,88,77.3,10.7,11.3,0.7,48.8,39.2,39.6,67.3,17,17
