Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Central African Republic,2000,Total,3833.416,67.2,59,8.2,26.3,6.5,21.7,45.5,8.5,39.3,31.2,8.5
Central African Republic,2001,Total,3919.487,66.9,57.8,9.1,26.7,6.4,21.2,45.7,8.4,39.3,31.1,8.4
Central African Republic,2002,Total,4006.077,66.6,56.7,10,27.1,6.2,20.8,45.8,8.3,39.2,31,8.3
Central African Republic,2003,Total,4103.086,66.4,55.5,10.9,27.6,6.1,20.4,46,8.1,39.2,30.8,8.1
Central African Republic,2004,Total,4192.826,66.1,54.3,11.8,28,5.9,20,46.1,8,39.1,30.7,8
Central African Republic,2005,Total,4288.81,65.8,53.2,12.7,28.4,5.8,19.6,46.3,7.9,39.1,30.6,7.9
Central African Republic,2006,Total,4377.579,65.6,52,13.5,28.8,5.7,19.2,46.4,7.7,39,30.5,7.7
Central African Republic,2007,Total,4462.77,65.3,50.9,14.4,29.1,5.5,18.8,46.6,7.6,39,30.4,7.6
Central African Republic,2008,Total,4558.984,65.1,49.8,15.3,29.5,5.4,18.4,46.7,7.5,38.9,30.3,7.5
Central African Republic,2009,Total,4529.047,64.9,48.7,16.2,29.9,5.2,18,46.9,7.4,38.8,30.2,7.4
Central African Republic,2010,Total,4492.995,64.6,47.6,17,30.3,5.1,17.6,47,7.3,38.8,30.1,7.3
Central African Republic,2011,Total,4565.021,64.4,46.5,17.9,30.6,4.9,17.2,47.2,7.1,38.7,30,7.1
Central African Republic,2012,Total,4610.848,64.2,45.5,18.8,31,4.8,16.9,47.4,7,38.6,29.9,7
Central African Republic,2013,Total,4642.419,64,44.4,19.6,31.3,4.6,16.5,47.5,6.9,38.5,29.8,6.9
Central African Republic,2014,Total,4623.182,63.8,43.4,20.5,31.7,4.5,16.1,47.7,6.8,38.4,29.7,6.8
Central African Republic,2015,Total,4629.32,63.7,42.3,21.3,32,4.3,15.8,47.9,6.7,38.3,29.6,6.7
Central African Republic,2016,Total,4713.663,63.5,41.3,22.2,32.3,4.2,15.4,48.1,6.6,38.2,29.5,6.6
Central African Republic,2017,Total,4793.511,63.3,40.2,23.1,32.6,4,15.1,48.3,6.5,38,29.5,6.5
Central African Republic,2018,Total,4878.657,63.2,39.2,23.9,33,3.9,14.7,48.5,6.4,37.9,29.4,6.4
Central African Republic,2019,Total,4944.703,63,38.2,24.8,33.3,3.7,14.4,48.7,6.3,37.7,29.3,6.3
Central African Republic,2020,Total,5026.628,62.9,37.2,25.7,33.5,3.6,14,48.9,6.2,37.6,29.3,6.2
Central African Republic,2021,Total,5112.1,62.8,36.2,26.6,33.8,3.4,13.7,49.1,6.1,37.4,29.2,6.1
Central African Republic,2022,Total,5098.039,62.9,36.3,26.6,33.7,3.4,13.8,49.1,6.1,37.4,29.3,6.1
Central African Republic,2023,Total,5152.421,63.1,36.4,26.7,33.5,3.4,14,49.2,6.2,37.4,29.4,6.2
Central African Republic,2024,Total,5330.69,63.3,36.5,26.8,33.4,3.3,14.1,49.2,6.2,37.5,29.5,6.2
Central African Republic,2025,Total,5513.282,63.5,36.6,26.9,33.2,3.3,14.3,49.2,6.3,37.5,29.6,6.3
Central African Republic,2026,Total,5698.984,,,,,,,,,,,
Central African Republic,2027,Total,5888.123,,,,,,,,,,,
Central African Republic,2028,Total,6082.465,,,,,,,,,,,
Central African Republic,2029,Total,6279.732,,,,,,,,,,,
Central African Republic,2030,Total,6478.245,,,,,,,,,,,
Central African Republic,2000,Rural,2390.556396,54.5,44.4,10,35.7,9.8,3.8,50.7,3.4,22.6,24.9,3.4
Central African Republic,2001,Rural,2441.056396,54.1,43.5,10.6,36.2,9.7,3.7,50.5,3.4,23.3,24.8,3.4
Central African Republic,2002,Rural,2491.699707,53.8,42.6,11.1,36.8,9.5,3.5,50.3,3.3,23.9,24.6,3.3
Central African Republic,2003,Rural,2548.672852,53.4,41.8,11.6,37.3,9.3,3.3,50.1,3.2,24.5,24.4,3.2
Central African Republic,2004,Rural,2600.977539,53.1,40.9,12.2,37.8,9.1,3.2,49.9,3.2,25.2,24.3,3.2
Central African Republic,2005,Rural,2656.102783,52.7,40,12.7,38.4,8.9,3,49.7,3.1,25.8,24.1,3.1
Central African Republic,2006,Rural,2705.650391,52.4,39.2,13.2,38.9,8.7,2.9,49.5,3.1,26.4,24,3.1
Central African Republic,2007,Rural,2751.788574,52,38.4,13.7,39.4,8.5,2.7,49.3,3,27,23.8,3
Central African Republic,2008,Rural,2803.501465,51.7,37.5,14.2,40,8.4,2.5,49.1,2.9,27.6,23.6,2.9
Central African Republic,2009,Rural,2776.577637,51.3,36.7,14.6,40.5,8.2,2.4,48.9,2.9,28.1,23.5,2.9
Central African Republic,2010,Rural,2745.040283,51,35.9,15.1,41,8,2.2,48.8,2.8,28.7,23.3,2.8
