Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Gabon,2000,Total,1275.572,84.8,80.1,4.7,4.3,10.9,78.6,6.2,44.4,27.1,,
Gabon,2001,Total,1309.589,85.4,80.6,4.8,4.3,10.3,79.2,6.2,45.6,27.4,,
Gabon,2002,Total,1345.135,85.9,81.1,4.9,4.3,9.8,79.8,6.2,46.8,27.6,,
Gabon,2003,Total,1382.35,86.5,81.5,4.9,4.3,9.2,80.3,6.2,48,27.8,,
Gabon,2004,Total,1421.609,87,82,5,4.3,8.7,80.8,6.1,49.2,28.1,,
Gabon,2005,Total,1463.495,87.5,82.5,5,4.3,8.2,81.3,6.1,50.4,28.3,,
Gabon,2006,Total,1508.337,88,82.9,5.1,4.3,7.8,81.8,6.1,51.6,28.5,,
Gabon,2007,Total,1556.237,88.4,83.3,5.1,4.2,7.3,82.3,6.1,52.8,28.7,,
Gabon,2008,Total,1607.175,88.9,83.7,5.2,4.2,6.9,82.8,6.2,54,28.9,,
Gabon,2009,Total,1661.556,89.4,84.1,5.2,4.2,6.4,83.2,6.2,55.2,29.1,,
Gabon,2010,Total,1719.879,89.8,84.5,5.3,4.2,6,83.6,6.2,56.4,29.3,,
Gabon,2011,Total,1781.985,90.2,84.9,5.3,4.1,5.6,84,6.2,57.6,29.5,,
Gabon,2012,Total,1846.889,90.6,85.3,5.4,4.1,5.3,84.4,6.2,58.8,29.7,,
Gabon,2013,Total,1913.059,91,85.6,5.4,4.1,4.9,84.8,6.3,60,29.9,,
Gabon,2014,Total,1978.399,91.4,86,5.4,4.1,4.5,85.1,6.3,61.2,30.7,,
Gabon,2015,Total,2040.989,91.8,86.3,5.5,4,4.2,85.4,6.3,62.4,31.6,,
Gabon,2016,Total,2100.306,92.1,86.6,5.5,4,3.9,85.7,6.4,63.6,32.5,,
Gabon,2017,Total,2156.9,92.5,86.9,5.6,3.9,3.6,86,6.4,64.7,33.4,,
Gabon,2018,Total,2212.318,92.8,87.2,5.6,3.9,3.3,86.3,6.5,65.9,34.2,,
Gabon,2019,Total,2267.706,93.1,87.5,5.6,3.9,3,86.6,6.6,67.1,35,,
Gabon,2020,Total,2322.539,93.4,87.7,5.7,3.8,2.7,86.8,6.6,68.2,35.9,,
Gabon,2021,Total,2376.722,93.7,88,5.7,3.8,2.5,87,6.7,69.4,36.7,,
Gabon,2022,Total,2430.747,94,88.2,5.8,3.8,2.2,87.2,6.8,70.5,37.5,,
Gabon,2023,Total,2484.789,94.3,88.5,5.8,3.8,2,87.4,6.9,71.7,38.3,,
Gabon,2024,Total,2538.952,94.4,88.6,5.8,3.7,1.9,87.6,6.8,71.9,38.3,,
Gabon,2025,Total,2593.13,94.5,88.7,5.8,3.7,1.9,87.8,6.7,72,38.3,,
Gabon,2026,Total,2647.399,94.6,88.8,5.8,3.6,1.8,87.9,6.7,72.1,38.4,,
Gabon,2027,Total,2701.851,94.7,88.9,5.7,3.6,1.8,88.1,6.6,72.3,38.4,,
Gabon,2028,Total,2756.477,,,,,,,,,,,
Gabon,2029,Total,2811.346,,,,,,,,,,,
Gabon,2030,Total,2866.667,,,,,,,,,,,
Gabon,2000,Rural,269.4135742,47.6,42.4,5.2,11.2,41.2,21.8,25.8,10,7.1,,
Gabon,2001,Rural,266.7240295,48.1,42.7,5.4,11.6,40.2,22.1,26.1,10.4,7.1,,
Gabon,2002,Rural,264.0769043,48.7,43.1,5.6,12.1,39.3,22.4,26.3,10.8,7.2,,
Gabon,2003,Rural,261.4991455,49.2,43.4,5.8,12.5,38.3,22.7,26.5,11.2,7.3,,
Gabon,2004,Rural,259.0455627,49.8,43.7,6.1,12.9,37.3,23,26.7,11.6,7.4,,
Gabon,2005,Rural,256.8141174,50.3,44,6.3,13.3,36.4,23.3,27,12,7.5,,
Gabon,2006,Rural,254.80336,50.8,44.3,6.5,13.8,35.4,23.6,27.2,12.4,7.5,,
Gabon,2007,Rural,253.013031,51.4,44.6,6.7,14.2,34.4,24,27.4,12.9,7.6,,
Gabon,2008,Rural,251.3782043,51.9,44.9,7,14.6,33.5,24.3,27.7,13.3,7.7,,
Gabon,2009,Rural,249.9810791,52.5,45.2,7.2,15,32.5,24.6,27.9,13.7,7.8,,
Gabon,2010,Rural,248.8149109,53,45.5,7.5,15.4,31.6,24.9,28.1,14.2,7.9,,
Gabon,2011,Rural,247.8384552,53.5,45.8,7.7,15.9,30.6,25.2,28.3,14.6,7.9,,
Gabon,2012,Rural,246.8552246,54.1,46.1,7.9,16.3,29.6,25.5,28.6,15.1,8,,
Gabon,2013,Rural,245.7133484,54.6,46.4,8.2,16.7,28.7,25.8,28.8,15.6,8.1,,
Gabon,2014,Rural,244.312439,55.2,46.7,8.5,17.1,27.7,26.1,29,16,10.1,,
Gabon,2015,Rural,242.5103302,55.7,47,8.7,17.6,26.7,26.4,29.3,16.5,12.1,,
Gabon,2016,Rural,240.2959747,56.2,47.3,9,18,25.8,26.8,29.5,17,14.2,,
Gabon,2017,Rural,237.7766113,56.8,47.5,9.2,18.4,24.8,27.1,29.7,17.5,16.2,,
Gabon,2018,Rural,235.1693878,57.3,47.8,9.5,18.8,23.9,27.4,29.9,18,18.4,,
Gabon,2019,Rural,232.6440125,57.9,48.1,9.8,19.2,22.9,27.7,30.2,18.5,20.5,,
Gabon,2020,Rural,230.117218,58.4,48.3,10.1,19.7,21.9,28,30.4,19,22.7,,
Gabon,2021,Rural,227.6186676,58.9,48.6,10.3,20.1,21,28.3,30.6,19.5,25,,
Gabon,2022,Rural,225.2086945,59.5,48.9,10.6,20.5,20,28.6,30.9,20.1,27.2,,
Gabon,2023,Rural,222.9104156,60,49.1,10.9,20.9,19.1,28.9,31.1,20.6,29.6,,
Gabon,2024,Rural,220.7110443,60,49.1,10.9,20.9,19.1,28.9,31.1,20.6,29.6,,
Gabon,2025,Rural,218.6527405,60,49.1,10.9,20.9,19.1,28.9,31.1,20.6,29.6,,
Gabon,2026,Rural,216.716095,60,49.1,10.9,20.9,19.1,28.9,31.1,20.6,29.6,,
Gabon,2027,Rural,214.9052734,60,49.1,10.9,20.9,19.1,28.9,31.1,20.6,29.6,,
Gabon,2028,Rural,213.2409973,,,,,,,,,,,
Gabon,2029,Rural,211.6942902,,,,,,,,,,,
Gabon,2030,Rural,210.327301,,,,,,,,,,,
Gabon,2000,Urban,1006.158447,94.8,90.1,4.6,2.4,2.8,93.8,0.9,53.6,32.5,,
Gabon,2001,Urban,1042.86499,94.9,90.2,4.6,2.4,2.7,93.8,1.1,54.6,32.5,,
Gabon,2002,Urban,1081.058105,95,90.3,4.7,2.4,2.6,93.8,1.2,55.6,32.6,,
Gabon,2003,Urban,1120.85083,95.1,90.4,4.7,2.4,2.5,93.7,1.4,56.6,32.6,,
Gabon,2004,Urban,1162.563477,95.3,90.5,4.7,2.4,2.4,93.7,1.6,57.6,32.7,,
Gabon,2005,Urban,1206.680908,95.4,90.6,4.8,2.4,2.3,93.7,1.7,58.5,32.7,,
Gabon,2006,Urban,1253.533691,95.5,90.7,4.8,2.3,2.1,93.7,1.9,59.5,32.8,,
Gabon,2007,Urban,1303.223999,95.6,90.8,4.8,2.3,2,93.6,2,60.5,32.8,,
Gabon,2008,Urban,1355.796753,95.8,90.9,4.8,2.3,1.9,93.6,2.2,61.5,32.8,,
