Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Equatorial Guinea,2000,Total,703.279,53.4,51.1,2.3,15.1,31.5,11.1,42.3,10.4,,,
Equatorial Guinea,2001,Total,749.836,54.1,51.8,2.3,16.6,29.2,13.2,40.9,10.8,,,
Equatorial Guinea,2002,Total,797.957,54.9,52.5,2.4,18.1,27,15.4,39.5,11.2,,,
Equatorial Guinea,2003,Total,847.862,55.8,53.4,2.4,19.5,24.8,17.6,38.2,11.6,,,
Equatorial Guinea,2004,Total,899.917,56.7,54.2,2.5,20.7,22.7,19.8,36.9,12.1,,,
Equatorial Guinea,2005,Total,947.367,57.6,55.1,2.5,21.8,20.6,22,35.6,12.5,,,
Equatorial Guinea,2006,Total,990.343,58.7,56.1,2.6,22.7,18.6,24.2,34.4,13,,,
Equatorial Guinea,2007,Total,1036.044,59.7,57.1,2.6,23.6,16.7,26.5,33.2,13.5,,,
Equatorial Guinea,2008,Total,1084.53,60.8,58.2,2.7,24.3,14.8,28.8,32,14,,,
Equatorial Guinea,2009,Total,1135.673,62,59.3,2.7,24.9,13.1,31.1,30.9,14.5,,,
Equatorial Guinea,2010,Total,1189.085,63.2,60.4,2.8,25.5,11.3,33.4,29.8,15,,,
Equatorial Guinea,2011,Total,1241.835,64.4,61.6,2.8,25.9,9.7,35.8,28.7,15.5,,,
Equatorial Guinea,2012,Total,1293.483,65.7,62.9,2.9,26.2,8.1,38.1,27.6,16,,,
Equatorial Guinea,2013,Total,1346.218,66.6,63.7,2.9,26.6,6.8,40.2,26.3,16.3,,,
Equatorial Guinea,2014,Total,1399.828,66.8,63.9,2.9,26.5,6.7,40.4,26.5,16.4,,,
Equatorial Guinea,2015,Total,1453.923,67.1,64.2,2.9,26.3,6.6,40.5,26.6,16.5,,,
Equatorial Guinea,2016,Total,1508.186,67.4,64.4,2.9,26.2,6.4,40.7,26.7,16.6,,,
Equatorial Guinea,2017,Total,1562.396,67.6,64.7,3,26,6.3,40.8,26.8,16.7,,,
Equatorial Guinea,2018,Total,1616.422,,,,,,,,,,,
Equatorial Guinea,2019,Total,1670.177,,,,,,,,,,,
Equatorial Guinea,2020,Total,1716.468,,,,,,,,,,,
Equatorial Guinea,2021,Total,1758.786,,,,,,,,,,,
Equatorial Guinea,2022,Total,1803.545,,,,,,,,,,,
Equatorial Guinea,2023,Total,1847.549,,,,,,,,,,,
Equatorial Guinea,2024,Total,1892.516,,,,,,,,,,,
Equatorial Guinea,2025,Total,1938.431,,,,,,,,,,,
Equatorial Guinea,2026,Total,1984.468,,,,,,,,,,,
Equatorial Guinea,2027,Total,2030.755,,,,,,,,,,,
Equatorial Guinea,2028,Total,2077.262,,,,,,,,,,,
Equatorial Guinea,2029,Total,2123.702,,,,,,,,,,,
Equatorial Guinea,2030,Total,2170.445,,,,,,,,,,,
Equatorial Guinea,2000,Rural,358.0252686,40.4,38.7,1.7,6.1,53.5,3.1,37.3,2.5,,,
Equatorial Guinea,2001,Rural,368.6793823,39.8,38.1,1.7,9.2,51.1,4.5,35.2,2.5,,,
Equatorial Guinea,2002,Rural,378.447052,39.1,37.5,1.6,12.3,48.6,6,33.1,2.5,,,
Equatorial Guinea,2003,Rural,387.4135742,38.5,36.9,1.6,15.4,46.2,7.5,31,2.4,,,
Equatorial Guinea,2004,Rural,395.6665344,37.8,36.3,1.6,18.4,43.7,9,28.9,2.4,,,
Equatorial Guinea,2005,Rural,400.3572693,37.2,35.6,1.6,21.5,41.2,10.4,26.8,2.3,,,
Equatorial Guinea,2006,Rural,401.7722778,36.6,35,1.5,24.6,38.8,11.9,24.7,2.3,,,
Equatorial Guinea,2007,Rural,403.0211182,35.9,34.4,1.5,27.7,36.3,13.4,22.5,2.3,,,
Equatorial Guinea,2008,Rural,404.0416565,35.3,33.8,1.5,30.8,33.9,14.9,20.4,2.2,,,
Equatorial Guinea,2009,Rural,404.7765503,34.7,33.2,1.5,33.9,31.4,16.3,18.3,2.2,,,
Equatorial Guinea,2010,Rural,405.0023804,34,32.6,1.4,37,29,17.8,16.2,2.1,,,
Equatorial Guinea,2011,Rural,403.7453613,33.4,32,1.4,40.1,26.5,19.3,14.1,2.1,,,
Equatorial Guinea,2012,Rural,400.9797363,32.8,31.4,1.4,43.2,24,20.8,12,2.1,,,
Equatorial Guinea,2013,Rural,410.0041504,32.1,30.8,1.4,46.3,21.6,22.3,9.9,2,,,
Equatorial Guinea,2014,Rural,418.7865601,32.1,30.8,1.4,46.3,21.6,22.3,9.9,2,,,
Equatorial Guinea,2015,Rural,427.2207336,32.1,30.8,1.4,46.3,21.6,22.3,9.9,2,,,
Equatorial Guinea,2016,Rural,435.2926331,32.1,30.8,1.4,46.3,21.6,22.3,9.9,2,,,
Equatorial Guinea,2017,Rural,443.00177,32.1,30.8,1.4,46.3,21.6,22.3,9.9,2,,,
Equatorial Guinea,2018,Rural,450.2866821,,,,,,,,,,,
Equatorial Guinea,2019,Rural,457.1775208,,,,,,,,,,,
