Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
South Sudan,2000,Total,,,,,,,,,,,,
South Sudan,2001,Total,,,,,,,,,,,,
South Sudan,2002,Total,,,,,,,,,,,,
South Sudan,2003,Total,,,,,,,,,,,,
South Sudan,2004,Total,,,,,,,,,,,,
South Sudan,2005,Total,,,,,,,,,,,,
South Sudan,2006,Total,,,,,,,,,,,,
South Sudan,2007,Total,,,,,,,,,,,,
South Sudan,2008,Total,,,,,,,,,,,,
South Sudan,2009,Total,,,,,,,,,,,,
South Sudan,2010,Total,,,,,,,,,,,,
South Sudan,2011,Total,10288.109,64.4,40.3,24.1,14.8,20.8,6.3,58.1,1.4,,,
South Sudan,2012,Total,10756.24,65.6,40.3,25.3,14.4,20,6.4,59.2,1.8,,,
South Sudan,2013,Total,11166.275,66.8,40.3,26.5,14.1,19.2,6.4,60.3,2.1,,,
South Sudan,2014,Total,11235.073,68,40.3,27.7,13.7,18.4,6.5,61.5,2.5,,,
South Sudan,2015,Total,11107.561,69.2,40.3,28.9,13.3,17.6,6.6,62.6,2.9,,,
South Sudan,2016,Total,10830.102,70.4,40.2,30.2,12.9,16.7,6.6,63.7,3.4,,,
South Sudan,2017,Total,10259.154,71.6,40.1,31.4,12.5,15.9,6.7,64.9,3.8,,,
South Sudan,2018,Total,10122.977,72.8,40,32.7,12.1,15.1,6.8,66,4.2,,,
South Sudan,2019,Total,10423.384,74,39.9,34,11.7,14.3,6.8,67.1,4.7,,,
South Sudan,2020,Total,10698.467,75.2,39.8,35.4,11.4,13.5,6.9,68.2,5.1,,,
South Sudan,2021,Total,10865.78,76.4,39.7,36.7,11,12.7,7,69.3,5.6,,,
South Sudan,2022,Total,11021.177,77.6,39.5,38,10.6,11.8,7.1,70.4,6.1,,,
South Sudan,2023,Total,11483.374,77.6,39.6,38,10.6,11.8,7.1,70.5,6.1,,,
South Sudan,2024,Total,11943.408,77.6,39.7,37.9,10.6,11.8,7.2,70.5,6.1,,,
South Sudan,2025,Total,12188.788,77.7,39.9,37.8,10.6,11.7,7.2,70.5,6.1,,,
South Sudan,2026,Total,12436.037,77.7,40,37.7,10.6,11.7,7.3,70.5,6.1,,,
South Sudan,2027,Total,12687.303,,,,,,,,,,,
South Sudan,2028,Total,12941.5,,,,,,,,,,,
South Sudan,2029,Total,13198.085,,,,,,,,,,,
South Sudan,2030,Total,13457.453,,,,,,,,,,,
South Sudan,2000,Rural,,,,,,,,,,,,
South Sudan,2001,Rural,,,,,,,,,,,,
South Sudan,2002,Rural,,,,,,,,,,,,
South Sudan,2003,Rural,,,,,,,,,,,,
South Sudan,2004,Rural,,,,,,,,,,,,
South Sudan,2005,Rural,,,,,,,,,,,,
South Sudan,2006,Rural,,,,,,,,,,,,
South Sudan,2007,Rural,,,,,,,,,,,,
South Sudan,2008,Rural,,,,,,,,,,,,
South Sudan,2009,Rural,,,,,,,,,,,,
South Sudan,2010,Rural,,,,,,,,,,,,
South Sudan,2011,Rural,8432.957031,61.7,37.4,24.3,15.9,22.4,5.4,56.3,0.6,,,
South Sudan,2012,Rural,8796.775391,62.9,37.1,25.8,15.4,21.7,5.4,57.5,1,,,
South Sudan,2013,Rural,9110.005859,64.1,36.8,27.3,15,20.9,5.3,58.8,1.4,,,
South Sudan,2014,Rural,9142.428711,65.3,36.5,28.8,14.5,20.2,5.3,60,1.9,,,
South Sudan,2015,Rural,9013.563477,66.5,36.1,30.4,14,19.5,5.2,61.3,2.3,,,
South Sudan,2016,Rural,8762.418945,67.7,35.7,32,13.6,18.7,5.2,62.6,2.7,,,
South Sudan,2017,Rural,8274.417969,68.9,35.3,33.6,13.1,18,5.1,63.8,3.2,,,
South Sudan,2018,Rural,8137.35498,70.1,34.8,35.3,12.7,17.2,5.1,65.1,3.7,,,
South Sudan,2019,Rural,8349.234375,71.3,34.3,37.1,12.2,16.5,5,66.3,4.2,,,
South Sudan,2020,Rural,8537.483398,72.5,33.7,38.8,11.7,15.7,5,67.6,4.7,,,
South Sudan,2021,Rural,8636.774414,73.8,33.1,40.6,11.3,15,4.9,68.9,5.2,,,
South Sudan,2022,Rural,8723.702148,75,32.5,42.5,10.8,14.2,4.8,70.1,5.8,,,
South Sudan,2023,Rural,9049.472656,75,32.5,42.5,10.8,14.2,4.8,70.1,5.8,,,
South Sudan,2024,Rural,9368.40918,75,32.5,42.5,10.8,14.2,4.8,70.1,5.8,,,
South Sudan,2025,Rural,9514.202148,75,32.5,42.5,10.8,14.2,4.8,70.1,5.8,,,
South Sudan,2026,Rural,9657.329102,75,32.5,42.5,10.8,14.2,4.8,70.1,5.8,,,
South Sudan,2027,Rural,9799.291992,,,,,,,,,,,
South Sudan,2028,Rural,9939.072266,,,,,,,,,,,
South Sudan,2029,Rural,10075.94629,,,,,,,,,,,
South Sudan,2030,Rural,10210.03516,,,,,,,,,,,
South Sudan,2000,Urban,,,,,,,,,,,,
South Sudan,2001,Urban,,,,,,,,,,,,
South Sudan,2002,Urban,,,,,,,,,,,,
South Sudan,2003,Urban,,,,,,,,,,,,
South Sudan,2004,Urban,,,,,,,,,,,,
South Sudan,2005,Urban,,,,,,,,,,,,
South Sudan,2006,Urban,,,,,,,,,,,,
South Sudan,2007,Urban,,,,,,,,,,,,
South Sudan,2008,Urban,,,,,,,,,,,,
South Sudan,2009,Urban,,,,,,,,,,,,
South Sudan,2010,Urban,,,,,,,,,,,,
South Sudan,2011,Urban,1855.151733,76.7,53.5,23.2,10.1,13.2,10.4,66.3,4.9,,,
South Sudan,2012,Urban,1959.464233,77.7,54.6,23.1,10.1,12.2,10.9,66.8,5.1,,,
South Sudan,2013,Urban,2056.269531,78.6,55.7,23,10.1,11.3,11.4,67.3,5.3,,,
South Sudan,2014,Urban,2092.644775,79.6,56.8,22.8,10.1,10.3,11.8,67.8,5.5,,,
South Sudan,2015,Urban,2093.997314,80.6,57.9,22.6,10,9.4,12.3,68.3,5.8,,,
South Sudan,2016,Urban,2067.683105,81.6,59.1,22.5,10,8.4,12.8,68.8,6,,,
South Sudan,2017,Urban,1984.735962,82.5,60.2,22.3,10,7.5,13.3,69.3,6.2,,,
South Sudan,2018,Urban,1985.621948,83.5,61.4,22.1,9.9,6.6,13.8,69.7,6.5,,,
South Sudan,2019,Urban,2074.14917,84.5,62.6,21.9,9.9,5.6,14.3,70.2,6.7,,,
South Sudan,2020,Urban,2160.983398,85.5,63.7,21.7,9.9,4.7,14.7,70.7,7,,,
South Sudan,2021,Urban,2229.006104,86.4,64.9,21.5,9.8,3.7,15.2,71.2,7.2,,,
South Sudan,2022,Urban,2297.474609,87.4,66.1,21.3,9.8,2.8,15.7,71.7,7.5,,,
South Sudan,2023,Urban,2433.901123,87.4,66.1,21.3,9.8,2.8,15.7,71.7,7.5,,,
South Sudan,2024,Urban,2574.998779,87.4,66.1,21.3,9.8,2.8,15.7,71.7,7.5,,,
