Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Sao Tome and Principe,2000,Total,144.018,81.4,69.2,12.2,8.4,10.2,74.9,6.5,25.9,71.4,62.6,25.9
Sao Tome and Principe,2001,Total,146.375,82.2,69.6,12.6,8,9.8,76,6.2,26.4,72.2,63.4,26.4
Sao Tome and Principe,2002,Total,149.922,83.1,70.1,12.9,7.7,9.3,77.1,6,26.9,73,64.2,26.9
Sao Tome and Principe,2003,Total,153.814,83.9,70.6,13.3,7.3,8.8,78.2,5.8,27.3,73.9,65.1,27.3
Sao Tome and Principe,2004,Total,157.705,84.7,71.1,13.7,6.9,8.3,79.2,5.5,27.8,74.7,66,27.8
Sao Tome and Principe,2005,Total,161.639,85.6,71.5,14.1,6.6,7.8,80.3,5.3,28.3,75.5,66.9,28.3
Sao Tome and Principe,2006,Total,165.638,86.4,71.9,14.5,6.2,7.4,81.3,5,28.8,76.4,67.7,28.8
Sao Tome and Principe,2007,Total,169.7,87.2,72.4,14.8,5.9,6.9,82.4,4.8,29.3,77.2,68.6,29.3
Sao Tome and Principe,2008,Total,173.793,88,72.8,15.2,5.5,6.5,83.4,4.6,29.8,78,69.4,29.8
Sao Tome and Principe,2009,Total,177.853,88.8,73.2,15.6,5.2,6.1,84.4,4.3,30.3,78.8,70.3,30.3
Sao Tome and Principe,2010,Total,181.802,89.6,73.6,16,4.8,5.6,85.4,4.1,30.7,79.6,71.1,30.7
Sao Tome and Principe,2011,Total,185.649,90.3,73.9,16.4,4.5,5.2,86.4,3.9,31.2,80.4,71.9,31.2
Sao Tome and Principe,2012,Total,189.439,91.1,74.3,16.8,4.1,4.8,87.4,3.7,31.7,81.2,72.7,31.7
Sao Tome and Principe,2013,Total,193.148,91.8,74.7,17.1,3.8,4.4,88.4,3.5,32.2,81.9,73.6,32.2
Sao Tome and Principe,2014,Total,196.767,92.6,75,17.5,3.4,4,89.3,3.2,32.7,79.9,74.3,32.7
Sao Tome and Principe,2015,Total,200.291,93.3,75.4,17.9,3.1,3.6,90.2,3,33.2,77.7,75.1,33.2
Sao Tome and Principe,2016,Total,203.689,94,75.7,18.3,2.8,3.3,91.2,2.8,33.7,75.5,75.9,33.7
Sao Tome and Principe,2017,Total,206.97,94.7,76,18.7,2.4,2.9,92.1,2.6,34.2,73.2,76.6,34.2
Sao Tome and Principe,2018,Total,210.187,95.4,76.3,19.1,2.1,2.5,93,2.4,34.7,70.8,77.3,34.7
Sao Tome and Principe,2019,Total,213.392,96,76.6,19.5,1.8,2.2,93.8,2.2,35.1,68.3,78.1,35.1
Sao Tome and Principe,2020,Total,217.435,96.7,76.8,19.9,1.4,1.8,94.7,2,35.6,65.8,78.8,35.6
Sao Tome and Principe,2021,Total,221.961,97.4,77.1,20.3,1.1,1.5,95.6,1.8,36.1,63.2,79.5,36.1
Sao Tome and Principe,2022,Total,226.305,97.9,77.6,20.4,0.8,1.3,96.4,1.5,36.4,60.5,80.1,36.4
Sao Tome and Principe,2023,Total,230.871,98.2,77.8,20.4,0.7,1.1,97.2,1,36.5,57.5,80.4,36.5
Sao Tome and Principe,2024,Total,235.536,98.4,78,20.5,0.6,1,97.7,0.8,36.7,54.5,80.7,36.7
Sao Tome and Principe,2025,Total,240.254,98.5,78,20.5,0.6,1,97.7,0.8,36.8,54.5,80.9,36.8
Sao Tome and Principe,2026,Total,244.994,98.5,78,20.5,0.5,0.9,97.8,0.7,36.9,54.5,81,36.9
Sao Tome and Principe,2027,Total,249.788,98.5,78.1,20.5,0.5,0.9,97.8,0.7,36.9,54.5,81.2,36.9
Sao Tome and Principe,2028,Total,254.661,98.6,78.1,20.5,0.5,0.9,97.9,0.7,37,54.5,81.3,37
Sao Tome and Principe,2029,Total,259.597,,,,,,,,,,,
Sao Tome and Principe,2030,Total,264.565,,,,,,,,,,,
Sao Tome and Principe,2000,Rural,67.07781982,72.8,62.3,10.5,10.5,16.8,63.7,9.1,18.6,58.6,45.1,18.6
Sao Tome and Principe,2001,Rural,66.78066254,73.6,62.8,10.8,10.1,16.2,64.8,8.8,18.8,59.3,45.6,18.8
Sao Tome and Principe,2002,Rural,66.63283539,74.5,63.3,11.2,9.8,15.7,65.9,8.6,19.1,60,46.1,19.1
Sao Tome and Principe,2003,Rural,66.49994659,75.3,63.7,11.6,9.5,15.2,67,8.4,19.3,60.6,46.6,19.3
Sao Tome and Principe,2004,Rural,66.28025055,76.2,64.2,12,9.1,14.7,68.1,8.1,19.6,61.3,47.2,19.6
Sao Tome and Principe,2005,Rural,66.00528717,77,64.7,12.4,8.8,14.2,69.2,7.9,19.8,62,47.7,19.8
Sao Tome and Principe,2006,Rural,65.6787796,77.9,65.1,12.7,8.5,13.6,70.2,7.6,20.1,62.7,48.2,20.1
Sao Tome and Principe,2007,Rural,65.30056,78.7,65.6,13.1,8.1,13.1,71.3,7.4,20.3,63.4,48.8,20.3
Sao Tome and Principe,2008,Rural,64.85955048,79.6,66,13.5,7.8,12.6,72.4,7.2,20.6,64.1,49.3,20.6
Sao Tome and Principe,2009,Rural,64.34187317,80.4,66.5,14,7.5,12.1,73.5,6.9,20.8,64.8,49.8,20.8
Sao Tome and Principe,2010,Rural,63.71796799,81.3,66.9,14.4,7.1,11.6,74.6,6.7,21.1,65.4,50.3,21.1
Sao Tome and Principe,2011,Rural,63.0018425,82.1,67.3,14.8,6.8,11,75.7,6.5,21.3,66.1,50.9,21.3
Sao Tome and Principe,2012,Rural,62.2117691,83,67.8,15.2,6.5,10.5,76.8,6.2,21.6,66.8,51.4,21.6
Sao Tome and Principe,2013,Rural,61.40561676,83.8,68.2,15.6,6.1,10,77.9,6,21.8,67.5,51.9,21.8
Sao Tome and Principe,2014,Rural,60.57865143,84.7,68.6,16.1,5.8,9.5,78.9,5.8,22.1,66.6,52.4,22.1
Sao Tome and Principe,2015,Rural,59.7387886,85.5,69,16.5,5.5,9,80,5.5,22.3,65.7,53,22.3
Sao Tome and Principe,2016,Rural,58.88241959,86.4,69.4,17,5.2,8.5,81.1,5.3,22.6,64.8,53.5,22.6
Sao Tome and Principe,2017,Rural,58.0178299,87.2,69.8,17.4,4.8,7.9,82.2,5,22.8,63.8,54,22.8
Sao Tome and Principe,2018,Rural,57.1645546,88.1,70.2,17.9,4.5,7.4,83.3,4.8,23.1,62.8,54.5,23.1
Sao Tome and Principe,2019,Rural,56.33975983,88.9,70.6,18.4,4.2,6.9,84.4,4.6,23.4,61.7,55.1,23.4
Sao Tome and Principe,2020,Rural,55.76338196,89.8,71,18.8,3.8,6.4,85.5,4.3,23.6,60.7,55.6,23.6
Sao Tome and Principe,2021,Rural,55.32822418,90.6,71.3,19.3,3.5,5.9,86.5,4.1,23.9,59.6,56.1,23.9
Sao Tome and Principe,2022,Rural,54.86764526,91.5,72,19.5,3.2,5.3,87.6,3.9,24.1,58.4,56.7,24.1
Sao Tome and Principe,2023,Rural,54.48324585,92.4,72.7,19.7,2.8,4.8,88.7,3.6,24.3,57.2,57.2,24.3
Sao Tome and Principe,2024,Rural,54.14030838,93.2,73.4,19.8,2.5,4.3,89.8,3.4,24.6,56.1,57.7,24.6
Sao Tome and Principe,2025,Rural,53.83371735,93.2,73.4,19.8,2.5,4.3,89.8,3.4,24.6,56.1,57.7,24.6
Sao Tome and Principe,2026,Rural,53.55568314,93.2,73.4,19.8,2.5,4.3,89.8,3.4,24.6,56.1,57.7,24.6
Sao Tome and Principe,2027,Rural,53.31224823,93.2,73.4,19.8,2.5,4.3,89.8,3.4,24.6,56.1,57.7,24.6
Sao Tome and Principe,2028,Rural,53.11209488,93.2,73.4,19.8,2.5,4.3,89.8,3.4,24.6,56.1,57.7,24.6
Sao Tome and Principe,2029,Rural,52.95260239,,,,,,,,,,,
Sao Tome and Principe,2030,Rural,52.82833099,,,,,,,,,,,
Sao Tome and Principe,2000,Urban,76.94017792,88.9,75.2,13.7,6.5,4.6,84.7,4.2,32.4,82.5,77.8,32.4
Sao Tome and Principe,2001,Urban,79.59433746,89.4,75.4,14,6.2,4.3,85.3,4.1,32.7,83,78.3,32.7
Sao Tome and Principe,2002,Urban,83.28916168,89.9,75.6,14.3,5.9,4.1,86,3.9,33.1,83.5,78.7,33.1
Sao Tome and Principe,2003,Urban,87.31404877,90.4,75.8,14.6,5.6,3.9,86.7,3.8,33.4,83.9,79.2,33.4
Sao Tome and Principe,2004,Urban,91.42474365,91,76,14.9,5.3,3.7,87.3,3.6,33.8,84.4,79.6,33.8
Sao Tome and Principe,2005,Urban,95.63371277,91.5,76.2,15.3,5.1,3.5,88,3.5,34.2,84.9,80.1,34.2
Sao Tome and Principe,2006,Urban,99.95922089,92,76.4,15.6,4.8,3.3,88.6,3.3,34.5,85.3,80.5,34.5
Sao Tome and Principe,2007,Urban,104.399437,92.5,76.6,15.9,4.5,3.1,89.3,3.2,34.9,85.8,81,34.9
Sao Tome and Principe,2008,Urban,108.9334488,93,76.8,16.2,4.2,2.8,90,3,35.2,86.3,81.4,35.2
Sao Tome and Principe,2009,Urban,113.5111237,93.5,77,16.5,3.9,2.6,90.6,2.9,35.6,86.8,81.9,35.6
Sao Tome and Principe,2010,Urban,118.0840302,94,77.2,16.9,3.6,2.4,91.3,2.7,36,87.2,82.3,36
Sao Tome and Principe,2011,Urban,122.6471558,94.5,77.3,17.2,3.3,2.2,91.9,2.6,36.3,87.7,82.7,36.3
Sao Tome and Principe,2012,Urban,127.2272263,95,77.5,17.5,3,2,92.6,2.4,36.7,88.2,83.2,36.7
